Frequency (MHz),Amplitude
1.398728428701180748e+00,1.374870737344377480e-02
1.407811080835603912e+00,1.488296597917765710e-02
1.416893732970027298e+00,1.622725278767879475e-02
1.425976385104450461e+00,1.784574002534173448e-02
1.435059037238873847e+00,1.983170901517522164e-02
1.444141689373297011e+00,2.232616645866265098e-02
1.453224341507720396e+00,2.555284304592499514e-02
1.462306993642143338e+00,2.988928438236665430e-02
1.471389645776566724e+00,3.602647023923159775e-02
1.480472297910989887e+00,4.537926405508029698e-02
1.489554950045413273e+00,6.137072266614874982e-02
1.498637602179836437e+00,9.495462814707961163e-02
1.507720254314259822e+00,2.106365864836184099e-01
1.516802906448682986e+00,9.462011299544208498e-01
1.525885558583106150e+00,1.453162478800770208e-01
1.534968210717529535e+00,7.857732852197414630e-02
1.544050862851952699e+00,5.378959909838496728e-02
1.553133514986376085e+00,4.085763478495842149e-02
1.562216167120799248e+00,3.291756682512988336e-02
1.571298819255222634e+00,2.754685335689554398e-02
1.580381471389645798e+00,2.367221638432949818e-02
1.589464123524069183e+00,2.074509163665860800e-02
1.598546775658492125e+00,1.845589337092548229e-02
1.607629427792915511e+00,1.661665884451071426e-02
1.616712079927338674e+00,1.510666404632107947e-02
1.625794732061762060e+00,1.384482570962423248e-02
1.634877384196185224e+00,1.277466516733111700e-02
1.643960036330608387e+00,1.185563365311664667e-02
1.653042688465031773e+00,1.105786592667612131e-02
1.662125340599454937e+00,1.035887918396355585e-02
1.671207992733878323e+00,9.741424728984669767e-03
1.680290644868301486e+00,9.192048593852281124e-03
1.689373297002724872e+00,8.700102391487211928e-03
1.698455949137148036e+00,8.257048239089773492e-03
1.707538601271571421e+00,7.855960570290159220e-03
1.716621253405994585e+00,7.491162702987747869e-03
1.725703905540417971e+00,7.157957472036490139e-03
1.734786557674841134e+00,6.852424697366868434e-03
1.743869209809264076e+00,6.571266908904649547e-03
1.752951861943687462e+00,6.311690426056122682e-03
1.762034514078110625e+00,6.071312687336055842e-03
1.771117166212534011e+00,5.848089309774009287e-03
1.780199818346957175e+00,5.640256145423623406e-03
1.789282470481380560e+00,5.446282856802992477e-03
1.798365122615803724e+00,5.264835425318754002e-03
1.807447774750227110e+00,5.094745649661549733e-03
1.816530426884650273e+00,4.934986159545354072e-03
1.825613079019073659e+00,4.784649815346643693e-03
1.834695731153496823e+00,4.642932620980893231e-03
1.843778383287920208e+00,4.509119470326851051e-03
1.852861035422343372e+00,4.382572193729022784e-03
1.861943687556766536e+00,4.262719482917146259e-03
1.871026339691189921e+00,4.149048358758935552e-03
1.880108991825612863e+00,4.041096913023759125e-03
1.889191643960036249e+00,3.938448107681189261e-03
1.898274296094459412e+00,3.840724456161395770e-03
1.907356948228882798e+00,3.747583443670406481e-03
1.916439600363305962e+00,3.658713569411279915e-03
1.925522252497729347e+00,3.573830914414914076e-03
1.934604904632152511e+00,3.492676155254492969e-03
1.943687556766575897e+00,3.415011957548878645e-03
1.952770208900999060e+00,3.340620694013566108e-03
1.961852861035422446e+00,3.269302440958566508e-03
1.970935513169845610e+00,3.200873214252517550e-03
1.980018165304268773e+00,3.135163412160267560e-03
1.989100817438692159e+00,3.072016437216158573e-03
1.998183469573115323e+00,3.011287473515620022e-03
2.007266121707538709e+00,2.952842399495555787e-03
2.016348773841961872e+00,2.896556818863429972e-03
2.025431425976385036e+00,2.842315195062053521e-03
2.034514078110808200e+00,2.790010076521306105e-03
2.043596730245231807e+00,2.739541401841761540e-03
2.052679382379654971e+00,2.690815875381716814e-03
2.061762034514078135e+00,2.643746405143066434e-03
2.070844686648501298e+00,2.598251595717682855e-03
2.079927338782924906e+00,2.554255290242879711e-03
2.089009990917347626e+00,2.511686155797901877e-03
2.098092643051770789e+00,2.470477307560923347e-03
2.107175295186193953e+00,2.430565967593401652e-03
2.116257947320617561e+00,2.391893154531224593e-03
2.125340599455040724e+00,2.354403401014767104e-03
2.134423251589463888e+00,2.318044495957714574e-03
2.143505903723887052e+00,2.282767249193034479e-03
2.152588555858310659e+00,2.248525276223339257e-03
2.161671207992733823e+00,2.215274801124168889e-03
2.170753860127156987e+00,2.182974475837641710e-03
2.179836512261580150e+00,2.151585214254880460e-03
