Frequency (MHz),Amplitude
1.379999999999999893e+00,9.751342537083076412e-01
1.389999999999999902e+00,6.765258125176326631e-01
1.399999999999999911e+00,-3.033612552895086911e-01
1.409999999999999920e+00,-9.777581282713365685e-01
1.419999999999999929e+00,-6.674706057906995005e-01
1.429999999999999938e+00,3.150485162212055545e-01
1.439999999999999947e+00,9.802738970936102358e-01
1.449999999999999956e+00,6.581773347221515635e-01
1.459999999999999964e+00,-3.268603955671527950e-01
1.469999999999999973e+00,-9.826736479409569069e-01
1.479999999999999982e+00,-6.486462548842426568e-01
1.489999999999999991e+00,3.387886984180186745e-01
1.500000000000000000e+00,9.849495658108720075e-01
1.510000000000000009e+00,6.388778950920950273e-01
1.520000000000000018e+00,-3.508250616638947661e-01
1.530000000000000027e+00,-9.870939486291142595e-01
1.540000000000000036e+00,-6.288730651374547787e-01
1.550000000000000044e+00,3.629609621937647246e-01
1.560000000000000053e+00,9.890992229704204108e-01
1.570000000000000062e+00,6.186328628624869763e-01
1.580000000000000071e+00,-3.751877257634443907e-01
1.590000000000000080e+00,-9.909579597623306979e-01
1.600000000000000089e+00,-6.081586805405586604e-01
1.610000000000000098e+00,3.874965365216387347e-01
1.620000000000000107e+00,9.926628899299834163e-01
1.629999999999999893e+00,5.974522105341375511e-01
1.639999999999999902e+00,-3.998784471812008023e-01
1.649999999999999911e+00,-9.942069199386163181e-01
1.659999999999999920e+00,-5.865154502008997905e-01
1.669999999999999929e+00,4.123243898190233070e-01
1.679999999999999938e+00,9.955831471895735252e-01
1.689999999999999947e+00,5.753507060218597813e-01
1.699999999999999956e+00,-4.248251872861592560e-01
1.709999999999999964e+00,-9.967848752247669974e-01
1.719999999999999973e+00,-5.639605969280504505e-01
1.729999999999999982e+00,4.373715652047974745e-01
1.739999999999999991e+00,9.978056286941854314e-01
1.750000000000000000e+00,5.523480568042175021e-01
1.760000000000000009e+00,-4.499541645271291634e-01
1.770000000000000018e+00,-9.986391680404873572e-01
1.780000000000000027e+00,-5.405163361504985442e-01
1.790000000000000036e+00,4.625635546283243249e-01
1.800000000000000044e+00,9.992795038547405140e-01
1.810000000000000053e+00,5.284690028873842982e-01
1.820000000000000062e+00,-4.751902469012098118e-01
1.830000000000000071e+00,-9.997209108573462677e-01
1.840000000000000080e+00,-5.162099422903266843e-01
1.850000000000000089e+00,4.878247088198261472e-01
1.860000000000000098e+00,9.999579414585901826e-01
1.870000000000000107e+00,5.037433560446084035e-01
1.879999999999999893e+00,-5.004573784345174303e-01
1.889999999999999902e+00,-9.999854388537221528e-01
1.899999999999999911e+00,-4.910737604138697421e-01
1.909999999999999920e+00,5.130786792598528434e-01
1.919999999999999929e+00,9.997985496082891776e-01
1.929999999999999938e+00,4.782059835194348851e-01
1.939999999999999947e+00,-5.256790355132041626e-01
1.949999999999999956e+00,-9.993927356904231951e-01
1.959999999999999964e+00,-4.651451617301385344e-01
1.969999999999999973e+00,5.382488876611193351e-01
1.979999999999999982e+00,9.987637859080157332e-01
1.989999999999999991e+00,4.518967351663155663e-01
2.000000000000000000e+00,-5.507787082266312195e-01
2.009999999999999787e+00,-9.979078267101720856e-01
2.020000000000000018e+00,-4.384664423252414012e-01
2.029999999999999805e+00,5.632590178108664025e-01
2.040000000000000036e+00,9.968213323140174831e-01
2.049999999999999822e+00,4.248603138380230293e-01
2.060000000000000053e+00,-5.756804012786443936e-01
2.069999999999999840e+00,-9.955011341197971264e-01
2.080000000000000071e+00,-4.110846653721539345e-01
2.089999999999999858e+00,5.880335240584108059e-01
2.100000000000000089e+00,9.939444293793581187e-01
2.109999999999999876e+00,3.971460896971824028e-01
2.120000000000000107e+00,-6.003091485034367514e-01
2.129999999999999893e+00,-9.921487890853856184e-01
2.140000000000000124e+00,-3.830514479341223244e-01
2.149999999999999911e+00,6.124981502620794327e-01
